ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl	 KuitLisKokN 	 KuitLisN 	 TOCN 	 TOCNliu 	 LisC 
77	4	2	3	1	0.4	 6.4   	 6.4   	 40.0   	 62.0   	 230   	 28   	 55   	 444   	" 12,539   "
81	4	1	3	1	4.3	 9.1   	 13.4   	 30.0   	 45.0   	 230   	 28   	 55   	 444   	" 12,539   "
90	4	3	3	1	1.4	 7.5   	 7.5   	 25.0   	 37.0   	 230   	 28   	 55   	 444   	" 12,539   "
93	4	4	3	1	0.0	 5.1   	 5.1   	 29.0   	 42.0   	 230   	 28   	 55   	 444   	" 12,539   "
100	1	4	3	2	0.0	 5.8   	 5.8   	 45.0   	 68.0   	 230   	 28   	 55   	 444   	" 12,539   "
106	1	1	3	2	1.5	 7.1   	 8.6   	 29.0   	 40.0   	 230   	 28   	 55   	 444   	" 12,539   "
112	1	3	3	2	9.8	 12.0   	 21.8   	 32.0   	 42.0   	 230   	 28   	 55   	 444   	" 12,539   "
118	1	2	3	2	3.0	 7.1   	 10.1   	 55.0   	 76.0   	 230   	 28   	 55   	 444   	" 12,539   "
123	2	3	3	2	4.1	 23.0   	 27.1   	 36.0   	 51.0   	 230   	 28   	 55   	 444   	" 12,539   "
132	2	4	3	2	7.9	 5.9   	 13.8   	 49.0   	 75.0   	 230   	 28   	 55   	 444   	" 12,539   "
137	2	2	3	2	2.6	 5.3   	 7.9   	 34.0   	 44.0   	 230   	 28   	 55   	 444   	" 12,539   "
143	2	1	3	2	1.9	 4.2   	 6.1   	 29.0   	 44.0   	 230   	 28   	 55   	 444   	" 12,539   "
146	3	4	3	2	2.2	 5.9   	 8.1   	 30.0   	 43.0   	 230   	 28   	 55   	 444   	" 12,539   "
155	3	3	3	2	1.2	 7.1   	 7.1   	 32.0   	 49.0   	 230   	 28   	 55   	 444   	" 12,539   "
160	3	1	3	2	0.2	 4.0   	 4.0   	 31.0   	 47.0   	 230   	 28   	 55   	 444   	" 12,539   "
164	3	2	3	2	3.8	 8.5   	 12.3   	 24.0   	 38.0   	 230   	 28   	 55   	 444   	" 12,539   "
173	4	2	3	2	0.4	 3.7   	 3.7   	 25.0   	 41.0   	 230   	 28   	 55   	 444   	" 12,539   "
177	4	1	3	2	0.4	 4.0   	 4.0   	 28.0   	 39.0   	 230   	 28   	 55   	 444   	" 12,539   "
186	4	3	3	2	0.6	 3.8   	 3.8   	 29.0   	 45.0   	 230   	 28   	 55   	 444   	" 12,539   "
189	4	4	3	2	0.3	 5.5   	 5.5   	 27.0   	 37.0   	 230   	 28   	 55   	 444   	" 12,539   "
196	1	4	3	3	0.0	 2.6   	 2.6   	 65.0   	 91.0   	 230   	 28   	 55   	 444   	" 12,539   "
202	1	1	3	3	0.0	 4.2   	 4.2   	 31.0   	 45.0   	 230   	 28   	 55   	 444   	" 12,539   "
208	1	3	3	3	0.0	 5.7   	 5.7   	 29.0   	 39.0   	 230   	 28   	 55   	 444   	" 12,539   "
214	1	2	3	3	0.0	 3.9   	 3.9   	 49.0   	 70.0   	 230   	 28   	 55   	 444   	" 12,539   "
