ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl
234	2	2	6	3	0.0	 10.0   	 10.0   	 25.0   	 31.0   
235	2	1	5	3	0.1	 11.0   	 11.0   	 33.0   	 41.0   
236	2	1	4	3	0.1	 4.2   	 4.2   	 34.0   	 44.0   
237	2	1	6	3	0.0	 6.6   	 6.6   	 30.0   	 41.0   
238	2	1	2	3	2.4	 6.0   	 8.4   	 43.0   	 55.0   
239	2	1	3	3	1.1	 3.7   	 3.7   	 35.0   	 43.0   
240	2	1	1	3	0.3	 5.5   	 5.5   	 47.0   	 61.0   
241	3	4	4	3	0.8	 4.0   	 4.0   	 41.0   	 56.0   
242	3	4	3	3	0.8	 5.0   	 5.0   	 31.0   	 50.0   
243	3	4	6	3	0.6	 5.8   	 5.8   	 26.0   	 36.0   
244	3	4	1	3	1.0	 3.7   	 3.7   	 44.0   	 65.0   
245	3	4	2	3	0.7	 3.3   	 3.3   	 49.0   	 68.0   
246	3	4	5	3	0.8	 6.6   	 6.6   	 20.0   	 27.0   
247	3	3	5	3	2.9	 9.1   	 12.0   	 23.0   	 32.0   
248	3	3	6	3	1.1	 7.9   	 7.9   	 24.0   	 30.0   
249	3	3	4	3	1.9	 5.6   	 7.5   	 35.0   	 46.0   
250	3	3	1	3	4.8	 5.5   	 10.3   	 43.0   	 59.0   
251	3	3	3	3	0.2	 4.6   	 4.6   	 29.0   	 42.0   
252	3	3	2	3	1.8	 4.7   	 6.5   	 45.0   	 62.0   
253	3	1	4	3	0.7	 4.4   	 4.4   	 45.0   	 63.0   
254	3	1	2	3	1.2	 5.0   	 5.0   	 41.0   	 56.0   
255	3	1	5	3	1.1	 12.0   	 12.0   	 25.0   	 38.0   
256	3	1	3	3	0.7	 3.5   	 3.5   	 33.0   	 45.0   
257	3	1	6	3	0.9	 8.8   	 8.8   	 23.0   	 36.0   
258	3	1	1	3	1.0	 4.8   	 4.8   	 49.0   	 69.0   
259	3	2	4	3	0.9	 5.5   	 5.5   	 35.0   	 50.0   
260	3	2	3	3	0.7	 3.0   	 3.0   	 25.0   	 36.0   
261	3	2	2	3	0.9	 1.8   	 1.8   	 29.0   	 42.0   
262	3	2	6	3	0.9	 7.5   	 7.5   	 20.0   	 28.0   
263	3	2	1	3	1.0	 5.1   	 5.1   	 50.0   	 79.0   
